Annee;Cartes
1900;
1901;
1902;
1903;
1904;
1905;
1906;
1907;
1908;
1909;
1910;
1911;
1912;
1913;
1914;
1915;
1916;
1917;
1918;
1919;
1920;
1921;
1922;
1923;
1924;
1925;
1926;
1927;
1928;
1929;
1930;
1931;
1932;
1933;
1934;
1935;
1936;
1937;
1938;
1939;
1940;
1941;
1942;
1943;
1944;
1945;
1946;
1947;
1948;
1949;
1950;
1951;
1952;
1953;
1954;
1955;6836
1956;7027
1957;7030
1958;7492
1959;7824
1960;8092
1961;8806
1962;9185
1963;9424
1964;9879
1965;9990
1966;10340
1967;10696
1968;10758
1969;10754
1970;11943
1971;12429
1972;12558
1973;13018
1974;13349
1975;13635
1976;14236
1977;14673
1978;15563
1979;16117
1980;16619
1981;18041
1982;18817
1983;19982
1984;20568
1985;21749
1986;22621
1987;23227
1988;24451
1989;25865
1990;26614
1991;27362
1992;27862
1993;27939
1994;28210
1995;28471
1996;29153
1997;30003
1998;30510
1999;31902
2000;33314
2001;34832
2002;35612
2003;36113
2004;36520
2005;36828
2006;37423
2007;37738
2008;37811
2009;37904
2010;37415
2011;37286
2012;36815
